name,brand,model,price,currency,old_price,discount,rating,reviews,url,source_site,scraped_at
Samsung A17 6-128 Noir - 2 ans de Garantie,samsung,Unknown,1799.0,Dhs,2159.0,17%,4.8,4,https://www.jumia.ma/samsung-a17-6-128-noir-2-ans-de-garantie-67497119.html,jumia_ma,2026-04-24T14:51:10.369938
Samsung A17 5G 4-128G Noir - 2 ans de Garantie,samsung,Unknown,1799.0,Dhs,2159.0,17%,5,1,https://www.jumia.ma/samsung-a17-5g-4-128g-noir-2-ans-de-garantie-67496935.html,jumia_ma,2026-04-24T14:51:10.370556
"Samsung A17 6,7’ 5G 8Go Ram + 256 Go – Bleu - 2 ans de garantie",samsung,Unknown,2399.0,Dhs,2879.0,17%,,,https://www.jumia.ma/samsung-a17-67-5g-8go-ram-256-go-bleu-2-ans-de-garantie-67496937.html,jumia_ma,2026-04-24T14:51:10.371096
"Samsung Galaxy A05 - 6.7"" - 4GB + 128GB - Noir",samsung,A05,1069.0,Dhs,1429.0,25%,4.2,142,https://www.jumia.ma/samsung-galaxy-a05-6.7-4gb-128gb-noir-64473018.html,jumia_ma,2026-04-24T14:51:10.371678
Samsung A17 8-256 Gris - 2 ans de Garantie,samsung,Unknown,2299.0,Dhs,2759.0,17%,4,3,https://www.jumia.ma/samsung-a17-8-256-gris-2-ans-de-garantie-67237234.html,jumia_ma,2026-04-24T14:51:10.372232
"Samsung GALAXY A07, 4 Go, 64 Go, Noir",samsung,A07,999.0,Dhs,1490.0,33%,,,https://www.jumia.ma/samsung-galaxy-a07-4-go-64-go-noir-67378530.html,jumia_ma,2026-04-24T14:51:10.373254
Samsung A17 8-256 Bleu - 2 ans de Garantie,samsung,Unknown,2299.0,Dhs,2759.0,17%,4.3,4,https://www.jumia.ma/samsung-a17-8-256-bleu-2-ans-de-garantie-67237233.html,jumia_ma,2026-04-24T14:51:10.374540
Samsung A17 6-128 Gris - 2 ans de Garantie,samsung,Unknown,1799.0,Dhs,2159.0,17%,4.5,2,https://www.jumia.ma/samsung-a17-6-128-gris-2-ans-de-garantie-67497118.html,jumia_ma,2026-04-24T14:51:10.375156
"Samsung smartphone Galaxy A56 5G stockage 256GB Ram 8 GB 6,7 Super AMOLED 120 Hz 50+12+5 MP-awesome graphite",samsung,Unknown,4058.0,Dhs,5799.0,30%,,,https://www.jumia.ma/samsung-smartphone-galaxy-a56-5g-stockage-256gb-ram-8-gb-67-super-amoled-120-hz-50125-mp-awesome-graphite-67074413.html,jumia_ma,2026-04-24T14:51:10.375601
"Samsung Galaxy A26 5G  6.7"" (8GB RAM + 256GB ROM) - 50 Mpx +Noir-Chargeur Rapide 25W Inclus",samsung,Unknown,2780.0,Dhs,3590.0,23%,4.8,4,https://www.jumia.ma/samsung-galaxy-a26-5g-6.7-8gb-ram-256gb-rom-50-mpx-noir-chargeur-rapide-25w-inclus-67057776.html,jumia_ma,2026-04-24T14:51:10.376119
Samsung Galaxy S26 Ultra – 12GB RAM / 512GB - Noir - Neuf,samsung,Unknown,14875.0,Dhs,16699.0,11%,,,https://www.jumia.ma/samsung-galaxy-s26-ultra-12gb-ram-512gb-noir-neuf-67682568.html,jumia_ma,2026-04-24T14:51:10.376622
Samsung Galaxy A36 5G - 6.7'' - (8GB - 256 GB)  -50MP+12MP+5MP+/32MP -Awesome Lime+ Adapteur Rapide 25W Inclus,samsung,Unknown,3590.0,Dhs,4590.0,22%,5,4,https://www.jumia.ma/samsung-galaxy-a36-5g-6.7-8gb-256-gb-50mp12mp5mp32mp-awesome-lime-adapteur-rapide-25w-inclus-66902214.html,jumia_ma,2026-04-24T14:51:10.377140
"Samsung Galaxy A05 - 6.7"" - 4GB + 128GB - Vert clair",samsung,A05,1069.0,Dhs,1429.0,25%,4.3,72,https://www.jumia.ma/samsung-galaxy-a05-6.7-4gb-128gb-vert-clair-64473020.html,jumia_ma,2026-04-24T14:51:10.377731
"Samsung Galaxy A07 – 6.7"" – 64 Go – 4 Go RAM – Helio G99 – 5000 mAh/25W – 50MP – Noir",samsung,A07,1099.0,Dhs,1399.0,21%,,,https://www.jumia.ma/samsung-galaxy-a07-6.7-64-go-4-go-ram-helio-g99-5000-mah25w-50mp-noir-67208460.html,jumia_ma,2026-04-24T14:51:10.378230
"Samsung Galaxy A17 6.7"" 4G (8GB RAM + 256 GB ROM) - 50 Mpx + Adapteur - BLEU",samsung,Unknown,2290.0,Dhs,2590.0,12%,,,https://www.jumia.ma/samsung-galaxy-a17-6.7-4g-8gb-ram-256-gb-rom-50-mpx-adapteur-bleu-67410376.html,jumia_ma,2026-04-24T14:51:10.378768
"Samsung A16 6.7"" (128GB - 4GB) Amoled 90Hz - Helio G99 - 5000mAh/25W -Gray",samsung,Unknown,1449.0,Dhs,1999.0,28%,4.4,5,https://www.jumia.ma/samsung-a16-6.7-128gb-4gb-amoled-90hz-helio-g99-5000mah25w-gray-66571203.html,jumia_ma,2026-04-24T14:51:10.379313
