name,brand,model,price,old_price,currency,discount,rating,reviews,url,source_site,scraped_at
Samsung GALAXY S24 FE SM-S721BZKDEUB,samsung,S24,556.48,,EUR,,4.2,11,,amazon_fr,2026-05-03T03:20:24.101096
"Samsung Galaxy S25 FE, Smartphone AI, affichage dynamique AMOLED 2 x 6,7 pouces, appareil photo 50 MP, 8 Go RAM, 256 Go,...[Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,S25,,,EUR,,4.6,349,,amazon_fr,2026-05-03T03:20:24.366624
Samsung S931 Galaxy S25 5G (6.2'' - 12/256GB) Navy,samsung,S25,,,EUR,,4.5,988,,amazon_fr,2026-05-03T03:20:24.467466
"Samsung Galaxy S25 FE 256Go Smartphone Android 5G 8Go RAM AI Display 6.7"" Dynamic AMOLED 2X Fotocamera 50MP 4.900 mAh (Noir)",samsung,S25,,,EUR,,4.6,349,,amazon_fr,2026-05-03T03:20:24.579453
Samsung Galaxy A57 5G Bleu 8 Go 128 Go AMZ,samsung,A57,538.02,,EUR,,5.0,1,,amazon_fr,2026-05-03T03:20:24.749703
Samsung Galaxy A37 5G Vert foncé 6 Go 128 Go AMZ,samsung,Unknown,399.0,,EUR,,,,,amazon_fr,2026-05-03T03:20:24.898296
Samsung GALAXY S25 5G SM-S931BDBDEUB,samsung,S25,,,EUR,,4.4,287,,amazon_fr,2026-05-03T03:20:25.009320
"Samsung Galaxy Z Flip7 FE, Smartphone Android 5G avec Galaxy AI, 256 Go, Smartphone déverrouillé, Noir",samsung,Unknown,,,EUR,,4.5,30,,amazon_fr,2026-05-03T03:20:25.136379
Samsung Galaxy Xcover Pro 7 Enterprise 128Go Noir,samsung,Unknown,,,EUR,,4.2,67,,amazon_fr,2026-05-03T03:20:25.245852
Samsung Galaxy A37 5G Graphite 6 Go 128 Go AMZ,samsung,Unknown,399.0,,EUR,,,,,amazon_fr,2026-05-03T03:20:25.403177
Samsung Galaxy A37 5G Graphite 8 Go 256 Go AMZ,samsung,Unknown,479.0,,EUR,,5.0,1,,amazon_fr,2026-05-03T03:20:25.552025
Samsung A566 Galaxy A56 Enterprise Edition (6.7'' - 8/128GB) Graphite,samsung,A56,,,EUR,,4.4,230,,amazon_fr,2026-05-03T03:20:25.679171
"Samsung Galaxy A56 5G, Smartphone Android, 128 Go, Smartphone déverrouillé, Vert Sauge",samsung,A56,,,EUR,,4.8,11,,amazon_fr,2026-05-03T03:20:25.778750
Samsung GALAXY A26 5G A266B 128GB schwrz,samsung,A26,,,EUR,,4.5,679,,amazon_fr,2026-05-03T03:20:25.875168
"SAMSUNG GALAXY S23 FE 128GB GRAPHITE, un design hérité des Galaxy S23, des photos lumineuses de nuit, un écran fluide et lumineux",samsung,S23,699.0,,EUR,Exclusivité Amazon,4.3,178,,amazon_fr,2026-05-03T03:20:25.992587
Samsung Galaxy S25+ Plus 5G 256GB Speicher 12GB RAM 4.900mAh Akku AI Handy Android 15 Smartphone EU ohne Simlock ohne Branding (Silber),samsung,S25+,,,EUR,,4.2,480,,amazon_fr,2026-05-03T03:20:26.088195
SAMSUNG Galaxy Xcover 7 Entreprise Edition 6 6p 128Go,samsung,Unknown,,,EUR,,4.2,30,,amazon_fr,2026-05-03T03:20:26.191687
"Samsung Galaxy A26 5G, Smartphone Android, 256 Go, Smartphone déverrouillé, Blanc",samsung,A26,,,EUR,,4.6,126,,amazon_fr,2026-05-03T03:20:26.289142
Samsung Galaxy A57 A576 5G 256GB/8GB Double SIM Gris,samsung,A57,,,EUR,,,,,amazon_fr,2026-05-03T03:20:26.391482
Samsung Smartphone Galaxy XCover7 Pro 5G Édition Enterprise 128Go/6Go Double SIM Noir,samsung,Unknown,,,EUR,,5.0,1,,amazon_fr,2026-05-03T03:20:26.487477
"Samsung Galaxy A26 5G, Smartphone Android, 128 Go, Smartphone déverrouillé, Vert d'eau",samsung,A26,,,EUR,,4.5,58,,amazon_fr,2026-05-03T03:20:26.591429
"Samsung Galaxy A35 5G, Dual, 128GB 6GB Ram, Awesome Navy",samsung,A35,,,EUR,,4.4,278,,amazon_fr,2026-05-03T03:20:26.694931
"Samsung Galaxy A16 Smartphone 4GB/128GB 6.7? - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A16,,,EUR,,4.3,38,,amazon_fr,2026-05-03T03:20:26.801046
Samsung SM-S928B Galaxy S24 Ultra Dual SIM 5G 12GB RAM 256GB Titanium Gray EU (Reconditionné),samsung,S24 Ultra,689.0,,EUR,,4.5,37,,amazon_fr,2026-05-03T03:20:40.232976
"Samsung Galaxy S24 FE S721 8GB 128GB 5G Dual SIM Exynos IP68 IA Mint - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,S24,427.95,,EUR,,4.2,15,,amazon_fr,2026-05-03T03:20:40.348678
Samsung Galaxy S24 8/256 Black (Reconditionné),samsung,S24,499.0,,EUR,,3.6,3,,amazon_fr,2026-05-03T03:20:40.493445
Samsung Galaxy S24 Ultra 12/512 Yellow (Reconditionné),samsung,S24 Ultra,664.0,,EUR,,5.0,6,,amazon_fr,2026-05-03T03:20:40.645528
"Samsung Galaxy S21 128Go Smartphone Android 5G 8Go RAM AI Display 6.2"" Dynamic AMOLED 2X Fotocamera 64MP 4.000 mAh (Blanc)",samsung,Unknown,279.98,,EUR,,3.8,14,,amazon_fr,2026-05-03T03:20:40.833428
"Samsung Galaxy S22+ Smartphone Android 5G 8Go RAM AI Display 6.6"" Dynamic AMOLED 2X Fotocamera 50MP 4.500 mAh (Noir, 256 GB)",samsung,Unknown,399.99,,EUR,,4.0,353,,amazon_fr,2026-05-03T03:20:40.965048
"Samsung Galaxy S24 Ultra 17,3 cm (6.8"""") Double SIM 5G USB Type-C 12 Go 256 Go 5000 mAh Noir, SM-S928BZKGEUE",samsung,S24 Ultra,869.0,,EUR,,4.3,118,,amazon_fr,2026-05-03T03:20:41.080095
Samsung A366 Galaxy A36 Dual 5G 256 Go 8 Go RAM (Awesome) Blanc,samsung,A36,269.98,,EUR,,4.4,362,,amazon_fr,2026-05-03T03:20:41.218083
