name,brand,model,price,old_price,currency,discount,rating,reviews,url,source_site,scraped_at
"Apple iPhone 16 Plus 128 Go : Telefono 5G con Controllo fotocamera, puce A18 e tanta autonomie in più. Compatibile con AirPods ; bianco",apple,Iphone 16 Plus,,,EUR,,,,,amazon_fr,2026-04-21T07:43:27.861504
Apple iPhone 13 512Go - Bleu (Reconditionné),apple,Iphone 13,,,EUR,,,,,amazon_fr,2026-04-21T07:43:28.141549
"Apple iPhone 13 mini, 128 Go, Minuit (Reconditionné)",apple,Iphone 13,234.55,,EUR,,,,,amazon_fr,2026-04-21T07:43:28.389637
"Apple iPhone 14 Plus, 128 Go - Starlight - (Reconditionné)",apple,Iphone 14,,,EUR,,,,,amazon_fr,2026-04-21T07:43:28.631404
ONEFLOW Brassard de sport pour téléphone portable compatible avec Apple iPhone 16 - Brassard de fitness - Brassard de course à pied - Pour l'extérieur - Support pour smartphone - Bleu,apple,Iphone 16,31.99,,EUR,,,,,amazon_fr,2026-04-21T07:43:29.248164
ONEFLOW Brassard de sport pour téléphone portable compatible avec Apple iPhone 16 - Brassard de fitness - Brassard de course à pied - Pour l'extérieur - Support pour smartphone - Noir,apple,Iphone 16,31.99,,EUR,,,,,amazon_fr,2026-04-21T07:43:29.965391
JAYM - Lot de 3 Verres Trempés pour Apple iPhone 16,apple,Iphone 16,,,EUR,,,,,amazon_fr,2026-04-21T07:43:31.021719
"T'nB - Ecouteurs Filaires, Connecteur Lightning, Semi Intra Auriculaire, Son Stéréo, Microphone Intégré, Casque Compatible pour Apple iPhone/iPad, Certifiés MFI– Noir",apple,Unknown,17.9,,EUR,,,,,amazon_fr,2026-04-21T07:43:45.435823
Apple iPhone 13 Mini 128Go - Vert (Reconditionné),apple,Iphone 13,244.16,,EUR,,,,,amazon_fr,2026-04-21T07:44:49.291471
"Apple iPhone 13 Pro Max, 1 TB - Graphite (Reconditionné)",apple,Iphone 13 Pro Max,,,EUR,,,,,amazon_fr,2026-04-21T07:44:49.545816
"Apple iPhone 12 Pro Max, 512GB, Argent - (Reconditionné)",apple,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:44:49.784943
Apple Iphone Xr 64Go Noir (Reconditionné),apple,Unknown,179.0,,EUR,,,,,amazon_fr,2026-04-21T07:44:50.251735
Tier1 T1A - Apple iPhone XR 15.5 cm (6.1) Dual SIM iOS 12 4G 128 GB Black Refurbished,apple,Unknown,354.51,,EUR,,,,,amazon_fr,2026-04-21T07:44:50.852787
"2x se® Film de Protection 3D Antireflet pour Apple iPhone 15, Auto-réparateur, Compatible Empreinte & FaceID, Installation Sans Bulles, Résistant aux Chocs et Rayures, Fabriqué en Allemagne",apple,Iphone 15,,,EUR,,,,,amazon_fr,2026-04-21T07:44:51.259136
JAYM - Lot de 3 Verres Trempés pour Apple iPhone 15,apple,Iphone 15,,,EUR,,,,,amazon_fr,2026-04-21T07:44:51.541200
"2x se® Film de Protection 3D Antireflet pour Apple iPhone 15 Plus, Auto-réparateur, Compatible Empreinte & FaceID, Installation Sans Bulles, Résistant aux Chocs et Rayures, Fabriqué en Allemagne",apple,Iphone 15 Plus,,,EUR,,,,,amazon_fr,2026-04-21T07:44:51.714817
"NK Casque Réalité Virtuelle - Casque VR Compatible avec iPhone & Android (4.7"" - 6,53"") Vision Angle 90-100 Degrés, Rotation 360°, Réglage Objectif et Pupille Réglable - Noire",apple,Unknown,17.99,,EUR,,,,,amazon_fr,2026-04-21T07:44:52.836209
"Hama Verre de protection pour Apple iPhone 15 Plus/15 Pro Max (iPhone 15, protection en verre avec dureté 9H, résistant aux rayures et aux chocs, verre de sécurité trempé classe de protection 7,",apple,Iphone 15 Plus,18.71,,EUR,,,,,amazon_fr,2026-04-21T07:45:04.175432
Otterbox React Necklace MagSafe Apple iPhone 15 - Black with Premium Tempered Glass Protector,apple,Iphone 15,61.53,,EUR,,,,,amazon_fr,2026-04-21T07:45:04.644973
"Tiger Glass Plus Pack Camera Lens + Verre TREMPE Recycle IPHONE 15 Plus - Protection Ecran et Caméra, Verre recyclé Ultra Résistant 9H+, Anti-Traces de Doigt, Pose Facile, Garantie à Vie",apple,Iphone 15 Plus,38.89,,EUR,,,,,amazon_fr,2026-04-21T07:45:05.141066
"TIGER GLASS PLUS VERRE TREMPE RECYCLE iPhone 16 Plus/15 Plus - Protection Ecran, Verre Recyclé Ultra Résistant 9H+, Anti-traces de doigts, Haute Sensibilité, Applicateur Pose facile, Garantie à vie",apple,Iphone 16 Plus,27.59,,EUR,,,,,amazon_fr,2026-04-21T07:45:05.655511
Otterbox React Necklace MagSafe Apple iPhone 14 - Black with Premium Tempered Glass Protector,apple,Iphone 14,66.52,,EUR,,,,,amazon_fr,2026-04-21T07:45:05.973235
"ZAGG Manhattan Snap Case Compatible avec Apple iPhone 15/Plus/Pro/Pro Max (iPhone 15 Plus/iPhone 14 Plus, Noir)",apple,Iphone 15 Plus,59.88,,EUR,,,,,amazon_fr,2026-04-21T07:45:06.448626
Lobwerk Schutzhülle für Apple iPhone 15 + Plus 6.7 Zoll Ultra Slim Case Tasche,apple,Iphone 15,,,EUR,,,,,amazon_fr,2026-04-21T07:45:07.161332
Lobwerk Schutzhülle für Apple iPhone 15 + Plus 6.7 Zoll Case Tasche Stoßfest,apple,Iphone 15,,,EUR,,,,,amazon_fr,2026-04-21T07:45:07.468992
"Generico Film de protection anti-lumière bleu HD pour iPhone 15 [3 pièces] | Anti-fatigue visuelle, ultra transparent, auto-régénérant, anti-bulles, kit de montage inclus | protection smartphone",apple,Iphone 15,17.4,,EUR,,,,,amazon_fr,2026-04-21T07:45:07.745286
Lobwerk Hülle für Apple iPhone 15 6.1 Zoll Case Cover Stoßfest,apple,Iphone 15,,,EUR,,,,,amazon_fr,2026-04-21T07:45:07.931216
"Film de protection anti-lumière bleu HD pour iPhone 15 Plus [3 pièces] | Anti-fatigue visuelle, ultra transparent, auto-régénérant, anti-bulles, kit de montage inclus | protection smartphone",apple,Iphone 15 Plus,17.4,,EUR,,,,,amazon_fr,2026-04-21T07:45:08.214359
Lobwerk Schutzhülle für Apple iPhone 15 + Plus 6.7 Zoll Ultra Slim Case Tasche Bumper,apple,Iphone 15,,,EUR,,,,,amazon_fr,2026-04-21T07:45:19.951340
"Etui Portefeuille The Classic pr Apple iPhone 15 Pro Max, Noir",apple,Iphone 15 Pro Max,,,EUR,,,,,amazon_fr,2026-04-21T07:45:20.252975
"Film de protection hydrogel de confidentialité pour iPhone 15 Plus [1 pièce] | Anti-Spia 28°, Auto-régénérant, Anti-rayures | Kit de montage inclus (Pans, Grattoir, Microfibre) | Protection Smartphone",apple,Iphone 15 Plus,17.4,,EUR,,,,,amazon_fr,2026-04-21T07:45:20.474819
Lobwerk Hülle für Apple iPhone 15 + Plus 6.7 Zoll Case Cover Stoßfest,apple,Iphone 15,,,EUR,,,,,amazon_fr,2026-04-21T07:45:21.251421
cadorabo Chaîne de téléphone Portable Compatible avec Apple iPhone 15 en Jaune - Cordon de téléphone réglable Pad Amovible pour insérer,apple,Iphone 15,12.99,,EUR,,,,,amazon_fr,2026-04-21T07:45:36.235120
cadorabo Chaîne de téléphone Portable Compatible avec Apple iPhone 15 Plus en Noir - Cordon de téléphone réglable Pad Amovible pour insérer,apple,Iphone 15 Plus,12.99,,EUR,,,,,amazon_fr,2026-04-21T07:45:51.840964
cadorabo Chaîne de téléphone Portable Compatible avec Apple iPhone 15 Pro en Orange - Cordon de téléphone réglable Pad Amovible pour insérer,apple,Iphone 15 Pro,12.99,,EUR,,,,,amazon_fr,2026-04-21T07:45:52.109437
cadorabo Chaîne de téléphone Portable Compatible avec Apple iPhone 15 Pro Max en Noir - Blanc - Cordon de téléphone réglable Pad Amovible pour insérer,apple,Iphone 15 Pro Max,12.99,,EUR,,,,,amazon_fr,2026-04-21T07:45:53.413594
